Metric,Value
NSA ID,80
NSA Name,Callaway-Garrison
Total Population,"1,954"
Median HH Income ($),"$46,637"
Median Gross Rent ($/mo),"$1,327"
% Renter-Occupied,33.2%
Population Change (%),45.3%
Pop Density (per km²),3966.1
% Age 18–34,25.6%
% Age 35–64,41.8%
% Age 65+,16.2%
% Bachelor's or Higher,24.4%
Avg Household Size,2.8
% Drive Alone,56.7%
% Public Transit,23.8%
% Walk,0.0%
% Work from Home,9.3%
Median Home Value ($),"$218,390"
Vacancy Rate (%),14.0%
% Owner-Occupied,66.8%
% Units Built Pre-1950,24.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,345"
Population Change (abs),608
Prior Income (CPI-adj $),"$46,623"
"Income Change (%, inflation-adj)",0.0%
Prior Median Rent ($/mo),$934
Rent Change (%),42.1%
