Metric,Value
NSA ID,82
NSA Name,Canton
Total Population,"12,518"
Median HH Income ($),"$156,462"
Median Gross Rent ($/mo),"$2,257"
% Renter-Occupied,32.2%
Population Change (%),3.4%
Pop Density (per km²),8498.0
% Age 18–34,46.1%
% Age 35–64,34.8%
% Age 65+,8.6%
% Bachelor's or Higher,80.6%
Avg Household Size,1.9
% Drive Alone,62.1%
% Public Transit,3.2%
% Walk,4.3%
% Work from Home,24.9%
Median Home Value ($),"$378,064"
Vacancy Rate (%),9.1%
% Owner-Occupied,67.8%
% Units Built Pre-1950,6.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"12,101"
Population Change (abs),416
Prior Income (CPI-adj $),"$132,121"
"Income Change (%, inflation-adj)",18.4%
Prior Median Rent ($/mo),"$2,007"
Rent Change (%),12.4%
