Metric,Value
NSA ID,83
NSA Name,Carroll Park
Total Population,3
Median HH Income ($),"$44,742"
% HH Income Below $50k,53.3%
% HH Income $50k–$100k,30.0%
% HH Income $100k+,16.7%
Median Gross Rent ($/mo),"$1,533"
% Renter-Occupied,60.3%
Population Change (%),-30.3%
Pop Density (per km²),3.4
% Age 18–34,39.2%
% Age 35–64,31.2%
% Age 65+,9.4%
% Bachelor's or Higher,26.1%
Avg Household Size,1.9
% Drive Alone,57.8%
% Public Transit,6.8%
% Walk,3.6%
% Work from Home,9.3%
Median Home Value ($),"$172,762"
Vacancy Rate (%),8.6%
% Vacant — For Rent,4.1%
% Vacant — For Sale,0.1%
% Vacant — Other/Distressed,4.4%
% Owner-Occupied,39.7%
% Units Built Pre-1950,17.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,4
Population Change (abs),-1
Pop Change vs City Avg (pp),-783.3%
Prior Income (CPI-adj $),"$62,959"
"Income Change (%, inflation-adj)",-28.9%
Income Change vs City Avg (pp),-39.2%
Prior Median Rent ($/mo),"$1,327"
Rent Change (%),15.5%
Rent Change vs City Avg (pp),-10.4%
Prior Median Home Value ($),137194.2804745171
Home Value Change (%),25.9%
Home Value Change vs City Avg (pp),-12.2%
Prior Vacancy Rate (%),22.4%
Vacancy Rate Change (pp),-13.8%
Vacancy Change vs City Avg (pp),-9.6%
Prior % Bachelor's+,28.8%
Education Change (pp),-2.7%
Education Change vs City Avg (pp),-5.6%
Market Signals,Affordability stress — rents outpacing incomes; Significant population loss
