Metric,Value
NSA ID,84
NSA Name,Carroll-South Hilton
Total Population,"1,415"
Median HH Income ($),"$51,281"
Median Gross Rent ($/mo),"$1,410"
% Renter-Occupied,52.1%
Population Change (%),-1.1%
Pop Density (per km²),1164.3
% Age 18–34,18.4%
% Age 35–64,43.6%
% Age 65+,9.6%
% Bachelor's or Higher,12.4%
Avg Household Size,2.1
% Drive Alone,67.7%
% Public Transit,15.4%
% Walk,7.0%
% Work from Home,9.9%
Median Home Value ($),"$88,202"
Vacancy Rate (%),17.4%
% Owner-Occupied,47.9%
% Units Built Pre-1950,47.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,430"
Population Change (abs),-15
Prior Income (CPI-adj $),"$38,328"
"Income Change (%, inflation-adj)",33.8%
Prior Median Rent ($/mo),$985
Rent Change (%),43.1%
