Metric,Value
NSA ID,85
NSA Name,Carrollton Ridge
Total Population,"1,899"
Median HH Income ($),"$44,718"
% HH Income Below $50k,62.0%
% HH Income $50k–$100k,24.7%
% HH Income $100k+,13.2%
Median Gross Rent ($/mo),"$1,269"
% Renter-Occupied,74.8%
Population Change (%),-20.1%
Pop Density (per km²),3262.1
% Age 18–34,13.7%
% Age 35–64,52.6%
% Age 65+,11.5%
% Bachelor's or Higher,6.7%
Avg Household Size,2.4
% Drive Alone,41.8%
% Public Transit,24.4%
% Walk,6.6%
% Work from Home,5.9%
Median Home Value ($),"$64,171"
Vacancy Rate (%),49.7%
% Vacant — For Rent,5.0%
% Vacant — For Sale,2.3%
% Vacant — Other/Distressed,42.4%
% Owner-Occupied,25.2%
% Units Built Pre-1950,20.5%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,375"
Population Change (abs),-476
Pop Change vs City Avg (pp),-773.1%
Prior Income (CPI-adj $),"$26,387"
"Income Change (%, inflation-adj)",69.5%
Income Change vs City Avg (pp),59.2%
Prior Median Rent ($/mo),"$1,013"
Rent Change (%),25.3%
Rent Change vs City Avg (pp),-0.6%
Prior Median Home Value ($),45319.487617463965
Home Value Change (%),41.6%
Home Value Change vs City Avg (pp),3.5%
Prior Vacancy Rate (%),45.2%
Vacancy Rate Change (pp),4.5%
Vacancy Change vs City Avg (pp),8.7%
Prior % Bachelor's+,8.0%
Education Change (pp),-1.3%
Education Change vs City Avg (pp),-4.2%
Market Signals,Household incomes rising faster than city; Vacancy distress — disinvestment risk; Significant population loss
