Metric,Value
NSA ID,87
NSA Name,Cedmont
Total Population,"2,503"
Median HH Income ($),"$71,239"
Median Gross Rent ($/mo),"$2,058"
% Renter-Occupied,15.8%
Population Change (%),-8.6%
Pop Density (per km²),2573.5
% Age 18–34,24.7%
% Age 35–64,44.3%
% Age 65+,13.9%
% Bachelor's or Higher,16.7%
Avg Household Size,2.6
% Drive Alone,81.0%
% Public Transit,0.0%
% Walk,2.6%
% Work from Home,5.4%
Median Home Value ($),"$236,492"
Vacancy Rate (%),3.8%
% Owner-Occupied,84.2%
% Units Built Pre-1950,43.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,739"
Population Change (abs),-236
Prior Income (CPI-adj $),"$81,927"
"Income Change (%, inflation-adj)",-13.0%
Prior Median Rent ($/mo),$744
Rent Change (%),176.7%
