Metric,Value
NSA ID,89
NSA Name,Central Forest Park
Total Population,"1,585"
Median HH Income ($),"$36,514"
Median Gross Rent ($/mo),$920
% Renter-Occupied,49.9%
Population Change (%),9.1%
Pop Density (per km²),4097.7
% Age 18–34,30.1%
% Age 35–64,30.5%
% Age 65+,19.3%
% Bachelor's or Higher,22.4%
Avg Household Size,2.5
% Drive Alone,81.3%
% Public Transit,4.6%
% Walk,2.6%
% Work from Home,3.9%
Median Home Value ($),"$253,998"
Vacancy Rate (%),14.1%
% Owner-Occupied,50.1%
% Units Built Pre-1950,21.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,452"
Population Change (abs),132
Prior Income (CPI-adj $),"$60,283"
"Income Change (%, inflation-adj)",-39.4%
Prior Median Rent ($/mo),$982
Rent Change (%),-6.3%
