Metric,Value
NSA ID,8
NSA Name,Highlandtown
Total Population,"2,410"
Median HH Income ($),"$110,530"
Median Gross Rent ($/mo),"$1,890"
% Renter-Occupied,35.4%
Population Change (%),-7.0%
Pop Density (per km²),6547.8
% Age 18–34,38.0%
% Age 35–64,36.3%
% Age 65+,12.0%
% Bachelor's or Higher,64.1%
Avg Household Size,2.0
% Drive Alone,57.5%
% Public Transit,7.8%
% Walk,4.5%
% Work from Home,22.1%
Median Home Value ($),"$291,374"
Vacancy Rate (%),9.7%
% Owner-Occupied,64.6%
% Units Built Pre-1950,12.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,591"
Population Change (abs),-181
Prior Income (CPI-adj $),"$84,013"
"Income Change (%, inflation-adj)",31.6%
Prior Median Rent ($/mo),"$1,437"
Rent Change (%),31.5%
