Metric,Value
NSA ID,91
NSA Name,Charles North
Total Population,"1,129"
Median HH Income ($),"$24,235"
% HH Income Below $50k,65.1%
% HH Income $50k–$100k,27.7%
% HH Income $100k+,7.2%
Median Gross Rent ($/mo),$764
% Renter-Occupied,88.9%
Population Change (%),4.1%
Pop Density (per km²),3139.5
% Age 18–34,29.7%
% Age 35–64,50.7%
% Age 65+,14.0%
% Bachelor's or Higher,36.7%
Avg Household Size,1.3
% Drive Alone,24.5%
% Public Transit,32.8%
% Walk,4.6%
% Work from Home,34.6%
Median Home Value ($),"$355,263"
Vacancy Rate (%),12.0%
% Vacant — For Rent,6.7%
% Vacant — For Sale,0.6%
% Vacant — Other/Distressed,4.7%
% Owner-Occupied,11.1%
% Units Built Pre-1950,9.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,084"
Population Change (abs),44
Pop Change vs City Avg (pp),-748.9%
Prior Income (CPI-adj $),"$26,336"
"Income Change (%, inflation-adj)",-8.0%
Income Change vs City Avg (pp),-18.3%
Prior Median Rent ($/mo),$825
Rent Change (%),-7.3%
Rent Change vs City Avg (pp),-33.2%
Prior Median Home Value ($),269044.0620513325
Home Value Change (%),32.0%
Home Value Change vs City Avg (pp),-6.1%
Prior Vacancy Rate (%),24.6%
Vacancy Rate Change (pp),-12.6%
Vacancy Change vs City Avg (pp),-8.4%
Prior % Bachelor's+,30.8%
Education Change (pp),5.9%
Education Change vs City Avg (pp),3.0%
Market Signals,Young adult population growing
