Metric,Value
NSA ID,93
NSA Name,Cheswolde
Total Population,"7,843"
Median HH Income ($),"$66,397"
Median Gross Rent ($/mo),"$1,592"
% Renter-Occupied,66.7%
Population Change (%),4.4%
Pop Density (per km²),3537.5
% Age 18–34,24.7%
% Age 35–64,31.4%
% Age 65+,13.9%
% Bachelor's or Higher,50.6%
Avg Household Size,2.3
% Drive Alone,71.0%
% Public Transit,4.7%
% Walk,0.7%
% Work from Home,19.8%
Median Home Value ($),"$380,665"
Vacancy Rate (%),3.6%
% Owner-Occupied,33.3%
% Units Built Pre-1950,32.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"7,510"
Population Change (abs),332
Prior Income (CPI-adj $),"$65,892"
"Income Change (%, inflation-adj)",0.8%
Prior Median Rent ($/mo),"$1,195"
Rent Change (%),33.2%
