Metric,Value
NSA ID,95
NSA Name,Orchard Ridge
Total Population,"1,031"
Median HH Income ($),"$56,928"
% HH Income Below $50k,43.6%
% HH Income $50k–$100k,29.3%
% HH Income $100k+,27.1%
Median Gross Rent ($/mo),"$1,253"
% Renter-Occupied,71.0%
Population Change (%),42.8%
Pop Density (per km²),1483.6
% Age 18–34,32.9%
% Age 35–64,48.6%
% Age 65+,6.4%
% Bachelor's or Higher,9.4%
Avg Household Size,1.8
% Drive Alone,65.5%
% Public Transit,17.0%
% Walk,0.0%
% Work from Home,0.0%
Median Home Value ($),"$214,807"
Vacancy Rate (%),4.6%
% Vacant — For Rent,1.7%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,2.9%
% Owner-Occupied,29.0%
% Units Built Pre-1950,4.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,722
Population Change (abs),308
Pop Change vs City Avg (pp),-710.2%
Prior Income (CPI-adj $),"$19,055"
"Income Change (%, inflation-adj)",198.8%
Income Change vs City Avg (pp),188.5%
Prior Median Rent ($/mo),$977
Rent Change (%),28.3%
Rent Change vs City Avg (pp),2.4%
Prior Median Home Value ($),50277.23722211432
Home Value Change (%),327.2%
Home Value Change vs City Avg (pp),289.1%
Prior Vacancy Rate (%),11.1%
Vacancy Rate Change (pp),-6.5%
Vacancy Change vs City Avg (pp),-2.3%
Prior % Bachelor's+,10.8%
Education Change (pp),-1.4%
Education Change vs City Avg (pp),-4.3%
Market Signals,Renter demand rising; Household incomes rising faster than city; Young adult population growing; Home value appreciation outpacing city
