Metric,Value
NSA ID,97
NSA Name,Coldspring
Total Population,"1,364"
Median HH Income ($),"$69,964"
Median Gross Rent ($/mo),"$1,063"
% Renter-Occupied,46.9%
Population Change (%),44.3%
Pop Density (per km²),816.4
% Age 18–34,11.3%
% Age 35–64,49.1%
% Age 65+,25.2%
% Bachelor's or Higher,34.8%
Avg Household Size,2.2
% Drive Alone,58.4%
% Public Transit,7.4%
% Walk,1.5%
% Work from Home,21.1%
Median Home Value ($),"$172,503"
Vacancy Rate (%),4.7%
% Owner-Occupied,53.1%
% Units Built Pre-1950,6.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,944
Population Change (abs),419
Prior Income (CPI-adj $),"$44,985"
"Income Change (%, inflation-adj)",55.5%
Prior Median Rent ($/mo),$474
Rent Change (%),124.5%
