Metric,Value
NSA ID,9
NSA Name,Hoes Heights
Total Population,646
Median HH Income ($),"$99,330"
% HH Income Below $50k,16.4%
% HH Income $50k–$100k,34.1%
% HH Income $100k+,49.5%
Median Gross Rent ($/mo),"$1,243"
% Renter-Occupied,19.0%
Population Change (%),-32.6%
Pop Density (per km²),3219.9
% Age 18–34,29.6%
% Age 35–64,43.8%
% Age 65+,16.2%
% Bachelor's or Higher,79.3%
Avg Household Size,2.0
% Drive Alone,66.6%
% Public Transit,0.0%
% Walk,8.9%
% Work from Home,20.3%
Median Home Value ($),"$293,476"
Vacancy Rate (%),11.2%
% Vacant — For Rent,0.0%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,11.2%
% Owner-Occupied,81.0%
% Units Built Pre-1950,16.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,958
Population Change (abs),-312
Pop Change vs City Avg (pp),-785.6%
Prior Income (CPI-adj $),"$80,998"
"Income Change (%, inflation-adj)",22.6%
Income Change vs City Avg (pp),12.3%
Prior Median Rent ($/mo),"$1,722"
Rent Change (%),-27.8%
Rent Change vs City Avg (pp),-53.7%
Prior Median Home Value ($),284111.4990136792
Home Value Change (%),3.3%
Home Value Change vs City Avg (pp),-34.8%
Prior Vacancy Rate (%),0.0%
Vacancy Rate Change (pp),11.2%
Vacancy Change vs City Avg (pp),15.4%
Prior % Bachelor's+,65.9%
Education Change (pp),13.4%
Education Change vs City Avg (pp),10.5%
Market Signals,Household incomes rising faster than city; Significant population loss
