Metric,Value
NSA ID,10
NSA Name,Mid-Town Belvedere
Total Population,"7,313"
Median HH Income ($),"$65,375"
% HH Income Below $50k,41.6%
% HH Income $50k–$100k,28.2%
% HH Income $100k+,30.2%
Median Gross Rent ($/mo),"$1,367"
% Renter-Occupied,74.3%
Population Change (%),24.8%
Pop Density (per km²),12781.8
% Age 18–34,40.0%
% Age 35–64,40.1%
% Age 65+,11.1%
% Bachelor's or Higher,66.5%
Avg Household Size,1.6
% Drive Alone,39.9%
% Public Transit,13.0%
% Walk,12.5%
% Work from Home,26.2%
Median Home Value ($),"$306,778"
Vacancy Rate (%),10.6%
% Vacant — For Rent,2.4%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,8.3%
% Owner-Occupied,25.7%
% Units Built Pre-1950,18.5%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"5,861"
Population Change (abs),"1,451"
Pop Change vs City Avg (pp),19.3%
Prior Income (CPI-adj $),"$55,314"
"Income Change (%, inflation-adj)",18.2%
Income Change vs City Avg (pp),10.1%
Prior Median Rent ($/mo),"$1,172"
Rent Change (%),16.6%
Rent Change vs City Avg (pp),-5.0%
Prior Median Home Value ($),305238.57052496466
Home Value Change (%),0.5%
Home Value Change vs City Avg (pp),-30.8%
Prior Vacancy Rate (%),16.5%
Vacancy Rate Change (pp),-5.9%
Vacancy Change vs City Avg (pp),-0.7%
Prior % Bachelor's+,69.9%
Education Change (pp),-3.4%
Education Change vs City Avg (pp),-5.3%
Market Signals,Household incomes rising faster than city; Young adult population growing
