Metric,Value
NSA ID,11
NSA Name,Mondawmin
Total Population,"6,705"
Median HH Income ($),"$39,062"
% HH Income Below $50k,62.5%
% HH Income $50k–$100k,22.0%
% HH Income $100k+,15.5%
Median Gross Rent ($/mo),"$1,095"
% Renter-Occupied,64.8%
Population Change (%),-15.8%
Pop Density (per km²),6870.3
% Age 18–34,29.2%
% Age 35–64,32.0%
% Age 65+,18.6%
% Bachelor's or Higher,13.5%
Avg Household Size,2.2
% Drive Alone,48.0%
% Public Transit,33.5%
% Walk,5.0%
% Work from Home,6.6%
Median Home Value ($),"$149,364"
Vacancy Rate (%),27.9%
% Vacant — For Rent,1.5%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,26.4%
% Owner-Occupied,35.2%
% Units Built Pre-1950,19.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"7,966"
Population Change (abs),"-1,261"
Pop Change vs City Avg (pp),-21.3%
Prior Income (CPI-adj $),"$37,993"
"Income Change (%, inflation-adj)",2.8%
Income Change vs City Avg (pp),-5.3%
Prior Median Rent ($/mo),"$1,000"
Rent Change (%),9.5%
Rent Change vs City Avg (pp),-12.1%
Prior Median Home Value ($),87738.09523809524
Home Value Change (%),70.2%
Home Value Change vs City Avg (pp),38.9%
Prior Vacancy Rate (%),36.4%
Vacancy Rate Change (pp),-8.5%
Vacancy Change vs City Avg (pp),-3.3%
Prior % Bachelor's+,12.9%
Education Change (pp),0.6%
Education Change vs City Avg (pp),-1.3%
Market Signals,Home value appreciation outpacing city; Significant population loss
