Metric,Value
NSA ID,12
NSA Name,Mount Vernon
Total Population,"5,138"
Median HH Income ($),"$47,971"
% HH Income Below $50k,51.2%
% HH Income $50k–$100k,28.5%
% HH Income $100k+,20.3%
Median Gross Rent ($/mo),"$1,290"
% Renter-Occupied,87.9%
Population Change (%),-27.8%
Pop Density (per km²),8750.5
% Age 18–34,43.9%
% Age 35–64,34.3%
% Age 65+,18.3%
% Bachelor's or Higher,58.6%
Avg Household Size,1.3
% Drive Alone,40.9%
% Public Transit,9.1%
% Walk,27.3%
% Work from Home,20.5%
Median Home Value ($),"$220,912"
Vacancy Rate (%),9.5%
% Vacant — For Rent,3.8%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,5.7%
% Owner-Occupied,12.1%
% Units Built Pre-1950,16.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"7,116"
Population Change (abs),"-1,978"
Pop Change vs City Avg (pp),-33.3%
Prior Income (CPI-adj $),"$57,012"
"Income Change (%, inflation-adj)",-15.9%
Income Change vs City Avg (pp),-24.0%
Prior Median Rent ($/mo),"$1,122"
Rent Change (%),14.9%
Rent Change vs City Avg (pp),-6.7%
Prior Median Home Value ($),224617.3814769654
Home Value Change (%),-1.6%
Home Value Change vs City Avg (pp),-32.9%
Prior Vacancy Rate (%),11.5%
Vacancy Rate Change (pp),-2.0%
Vacancy Change vs City Avg (pp),3.2%
Prior % Bachelor's+,61.6%
Education Change (pp),-3.0%
Education Change vs City Avg (pp),-4.9%
Market Signals,Affordability stress — rents outpacing incomes; Significant population loss
