Metric,Value
NSA ID,13
NSA Name,Oldtown
Total Population,"3,922"
Median HH Income ($),"$22,153"
% HH Income Below $50k,76.1%
% HH Income $50k–$100k,16.8%
% HH Income $100k+,7.1%
Median Gross Rent ($/mo),$433
% Renter-Occupied,92.1%
Population Change (%),16.1%
Pop Density (per km²),9020.4
% Age 18–34,22.3%
% Age 35–64,37.6%
% Age 65+,12.7%
% Bachelor's or Higher,7.7%
Avg Household Size,2.2
% Drive Alone,15.8%
% Public Transit,46.8%
% Walk,8.9%
% Work from Home,0.9%
Median Home Value ($),"$156,661"
Vacancy Rate (%),7.3%
% Vacant — For Rent,1.5%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,5.8%
% Owner-Occupied,7.9%
% Units Built Pre-1950,20.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"3,377"
Population Change (abs),544
Pop Change vs City Avg (pp),10.6%
Prior Income (CPI-adj $),"$16,130"
"Income Change (%, inflation-adj)",37.3%
Income Change vs City Avg (pp),29.2%
Prior Median Rent ($/mo),$313
Rent Change (%),38.4%
Rent Change vs City Avg (pp),16.8%
Prior Median Home Value ($),125116.73408574895
Home Value Change (%),25.2%
Home Value Change vs City Avg (pp),-6.1%
Prior Vacancy Rate (%),13.8%
Vacancy Rate Change (pp),-6.5%
Vacancy Change vs City Avg (pp),-1.3%
Prior % Bachelor's+,8.0%
Education Change (pp),-0.3%
Education Change vs City Avg (pp),-2.2%
Market Signals,Renter demand rising; Household incomes rising faster than city
