Metric,Value
NSA ID,15
NSA Name,Waverly
Total Population,"6,435"
Median HH Income ($),"$65,442"
% HH Income Below $50k,42.2%
% HH Income $50k–$100k,39.0%
% HH Income $100k+,18.8%
Median Gross Rent ($/mo),$966
% Renter-Occupied,47.0%
Population Change (%),35.6%
Pop Density (per km²),16000.7
% Age 18–34,21.4%
% Age 35–64,41.5%
% Age 65+,19.9%
% Bachelor's or Higher,37.7%
Avg Household Size,2.1
% Drive Alone,50.5%
% Public Transit,13.8%
% Walk,6.5%
% Work from Home,23.6%
Median Home Value ($),"$196,108"
Vacancy Rate (%),11.2%
% Vacant — For Rent,3.6%
% Vacant — For Sale,0.9%
% Vacant — Other/Distressed,6.7%
% Owner-Occupied,53.0%
% Units Built Pre-1950,20.4%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"4,744"
Population Change (abs),"1,690"
Pop Change vs City Avg (pp),30.1%
Prior Income (CPI-adj $),"$52,679"
"Income Change (%, inflation-adj)",24.2%
Income Change vs City Avg (pp),16.1%
Prior Median Rent ($/mo),$739
Rent Change (%),30.7%
Rent Change vs City Avg (pp),9.1%
Prior Median Home Value ($),150151.80489357118
Home Value Change (%),30.6%
Home Value Change vs City Avg (pp),-0.7%
Prior Vacancy Rate (%),14.4%
Vacancy Rate Change (pp),-3.2%
Vacancy Change vs City Avg (pp),2.0%
Prior % Bachelor's+,32.5%
Education Change (pp),5.2%
Education Change vs City Avg (pp),3.3%
Market Signals,Renter demand rising; Household incomes rising faster than city; Gentrification indicators present
