Metric,Value
NSA ID,16
NSA Name,Belair-Edison
Total Population,"19,572"
Median HH Income ($),"$55,104"
% HH Income Below $50k,45.4%
% HH Income $50k–$100k,30.9%
% HH Income $100k+,23.7%
Median Gross Rent ($/mo),"$1,391"
% Renter-Occupied,43.7%
Population Change (%),-11.8%
Pop Density (per km²),9234.6
% Age 18–34,21.2%
% Age 35–64,41.0%
% Age 65+,11.9%
% Bachelor's or Higher,18.3%
Avg Household Size,2.4
% Drive Alone,63.3%
% Public Transit,11.9%
% Walk,2.7%
% Work from Home,6.7%
Median Home Value ($),"$139,019"
Vacancy Rate (%),11.3%
% Vacant — For Rent,1.5%
% Vacant — For Sale,0.1%
% Vacant — Other/Distressed,9.6%
% Owner-Occupied,56.3%
% Units Built Pre-1950,43.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"22,199"
Population Change (abs),"-2,627"
Pop Change vs City Avg (pp),-17.3%
Prior Income (CPI-adj $),"$46,937"
"Income Change (%, inflation-adj)",17.4%
Income Change vs City Avg (pp),9.3%
Prior Median Rent ($/mo),"$1,144"
Rent Change (%),21.6%
Rent Change vs City Avg (pp),0.0%
Prior Median Home Value ($),104779.41176470589
Home Value Change (%),32.7%
Home Value Change vs City Avg (pp),1.4%
Prior Vacancy Rate (%),15.1%
Vacancy Rate Change (pp),-3.8%
Vacancy Change vs City Avg (pp),1.4%
Prior % Bachelor's+,15.9%
Education Change (pp),2.4%
Education Change vs City Avg (pp),0.5%
Market Signals,Renter demand rising
