Metric,Value
NSA ID,17
NSA Name,Charles Village
Total Population,"14,041"
Median HH Income ($),"$59,664"
% HH Income Below $50k,44.6%
% HH Income $50k–$100k,27.6%
% HH Income $100k+,27.9%
Median Gross Rent ($/mo),"$1,247"
% Renter-Occupied,69.3%
Population Change (%),-15.7%
Pop Density (per km²),20585.3
% Age 18–34,51.7%
% Age 35–64,30.7%
% Age 65+,8.7%
% Bachelor's or Higher,65.8%
Avg Household Size,1.8
% Drive Alone,38.1%
% Public Transit,12.7%
% Walk,20.2%
% Work from Home,19.4%
Median Home Value ($),"$293,389"
Vacancy Rate (%),12.4%
% Vacant — For Rent,4.3%
% Vacant — For Sale,0.3%
% Vacant — Other/Distressed,7.9%
% Owner-Occupied,30.7%
% Units Built Pre-1950,19.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"16,656"
Population Change (abs),"-2,615"
Pop Change vs City Avg (pp),-21.2%
Prior Income (CPI-adj $),"$53,294"
"Income Change (%, inflation-adj)",12.0%
Income Change vs City Avg (pp),3.9%
Prior Median Rent ($/mo),"$1,081"
Rent Change (%),15.4%
Rent Change vs City Avg (pp),-6.2%
Prior Median Home Value ($),239328.37006888667
Home Value Change (%),22.6%
Home Value Change vs City Avg (pp),-8.7%
Prior Vacancy Rate (%),13.9%
Vacancy Rate Change (pp),-1.5%
Vacancy Change vs City Avg (pp),3.7%
Prior % Bachelor's+,61.2%
Education Change (pp),4.6%
Education Change vs City Avg (pp),2.7%
Market Signals,Significant population loss
