Metric,Value
NSA ID,18
NSA Name,Fells Point
Total Population,"5,478"
Median HH Income ($),"$98,517"
% HH Income Below $50k,26.0%
% HH Income $50k–$100k,24.6%
% HH Income $100k+,49.3%
Median Gross Rent ($/mo),"$1,917"
% Renter-Occupied,73.9%
Population Change (%),-12.9%
Pop Density (per km²),8507.8
% Age 18–34,47.3%
% Age 35–64,34.2%
% Age 65+,9.1%
% Bachelor's or Higher,65.8%
Avg Household Size,1.7
% Drive Alone,49.0%
% Public Transit,3.5%
% Walk,18.7%
% Work from Home,22.7%
Median Home Value ($),"$370,633"
Vacancy Rate (%),21.6%
% Vacant — For Rent,8.8%
% Vacant — For Sale,1.9%
% Vacant — Other/Distressed,10.9%
% Owner-Occupied,26.1%
% Units Built Pre-1950,6.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"6,289"
Population Change (abs),-811
Pop Change vs City Avg (pp),-18.4%
Prior Income (CPI-adj $),"$92,731"
"Income Change (%, inflation-adj)",6.2%
Income Change vs City Avg (pp),-1.9%
Prior Median Rent ($/mo),"$1,611"
Rent Change (%),19.0%
Rent Change vs City Avg (pp),-2.6%
Prior Median Home Value ($),320813.6417717384
Home Value Change (%),15.5%
Home Value Change vs City Avg (pp),-15.8%
Prior Vacancy Rate (%),20.2%
Vacancy Rate Change (pp),1.4%
Vacancy Change vs City Avg (pp),6.6%
Prior % Bachelor's+,63.9%
Education Change (pp),1.9%
Education Change vs City Avg (pp),0.0%
Market Signals,No strong signals
