Metric,Value
NSA ID,19
NSA Name,Locust Point
Total Population,"3,664"
Median HH Income ($),"$154,040"
% HH Income Below $50k,15.1%
% HH Income $50k–$100k,19.1%
% HH Income $100k+,65.7%
Median Gross Rent ($/mo),"$2,257"
% Renter-Occupied,39.7%
Population Change (%),11.4%
Pop Density (per km²),6831.0
% Age 18–34,41.5%
% Age 35–64,35.2%
% Age 65+,6.8%
% Bachelor's or Higher,79.1%
Avg Household Size,2.0
% Drive Alone,64.7%
% Public Transit,2.8%
% Walk,5.2%
% Work from Home,21.8%
Median Home Value ($),"$457,059"
Vacancy Rate (%),10.0%
% Vacant — For Rent,5.1%
% Vacant — For Sale,1.4%
% Vacant — Other/Distressed,3.5%
% Owner-Occupied,60.3%
% Units Built Pre-1950,2.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"3,289"
Population Change (abs),375
Pop Change vs City Avg (pp),5.9%
Prior Income (CPI-adj $),"$148,848"
"Income Change (%, inflation-adj)",3.5%
Income Change vs City Avg (pp),-4.6%
Prior Median Rent ($/mo),"$1,952"
Rent Change (%),15.6%
Rent Change vs City Avg (pp),-6.0%
Prior Median Home Value ($),344422.3107569721
Home Value Change (%),32.7%
Home Value Change vs City Avg (pp),1.4%
Prior Vacancy Rate (%),11.7%
Vacancy Rate Change (pp),-1.7%
Vacancy Change vs City Avg (pp),3.5%
Prior % Bachelor's+,76.9%
Education Change (pp),2.2%
Education Change vs City Avg (pp),0.3%
Market Signals,Young adult population growing
