Metric,Value
NSA ID,1
NSA Name,Highlandtown
Total Population,"4,394"
Median HH Income ($),"$102,245"
% HH Income Below $50k,31.4%
% HH Income $50k–$100k,17.4%
% HH Income $100k+,51.1%
Median Gross Rent ($/mo),"$1,729"
% Renter-Occupied,38.7%
Population Change (%),-11.1%
Pop Density (per km²),11938.3
% Age 18–34,35.4%
% Age 35–64,37.7%
% Age 65+,12.4%
% Bachelor's or Higher,58.6%
Avg Household Size,2.0
% Drive Alone,56.5%
% Public Transit,10.4%
% Walk,4.2%
% Work from Home,20.6%
Median Home Value ($),"$289,026"
Vacancy Rate (%),10.8%
% Vacant — For Rent,3.3%
% Vacant — For Sale,1.7%
% Vacant — Other/Distressed,5.8%
% Owner-Occupied,61.3%
% Units Built Pre-1950,10.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"4,942"
Population Change (abs),-548
Pop Change vs City Avg (pp),-16.6%
Prior Income (CPI-adj $),"$75,974"
"Income Change (%, inflation-adj)",34.6%
Income Change vs City Avg (pp),26.5%
Prior Median Rent ($/mo),"$1,311"
Rent Change (%),31.9%
Rent Change vs City Avg (pp),10.3%
Prior Median Home Value ($),201264.72414326918
Home Value Change (%),43.6%
Home Value Change vs City Avg (pp),12.3%
Prior Vacancy Rate (%),11.1%
Vacancy Rate Change (pp),-0.3%
Vacancy Change vs City Avg (pp),4.9%
Prior % Bachelor's+,44.6%
Education Change (pp),14.0%
Education Change vs City Avg (pp),12.1%
Market Signals,Renter demand rising; Household incomes rising faster than city; Gentrification indicators present
