Metric,Value
NSA ID,20
NSA Name,W Baltimore
Total Population,"6,566"
Median HH Income ($),"$37,470"
% HH Income Below $50k,62.1%
% HH Income $50k–$100k,20.8%
% HH Income $100k+,17.1%
Median Gross Rent ($/mo),"$1,027"
% Renter-Occupied,83.8%
Population Change (%),148.0%
Pop Density (per km²),5760.2
% Age 18–34,36.7%
% Age 35–64,33.7%
% Age 65+,8.1%
% Bachelor's or Higher,28.3%
Avg Household Size,2.1
% Drive Alone,39.6%
% Public Transit,17.7%
% Walk,16.7%
% Work from Home,19.4%
Median Home Value ($),"$212,723"
Vacancy Rate (%),13.6%
% Vacant — For Rent,1.9%
% Vacant — For Sale,0.4%
% Vacant — Other/Distressed,11.3%
% Owner-Occupied,16.2%
% Units Built Pre-1950,15.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,647"
Population Change (abs),"3,918"
Pop Change vs City Avg (pp),142.5%
Prior Income (CPI-adj $),"$52,026"
"Income Change (%, inflation-adj)",-28.0%
Income Change vs City Avg (pp),-36.1%
Prior Median Rent ($/mo),"$1,152"
Rent Change (%),-10.9%
Rent Change vs City Avg (pp),-32.5%
Prior Median Home Value ($),187351.14251561597
Home Value Change (%),13.5%
Home Value Change vs City Avg (pp),-17.8%
Prior Vacancy Rate (%),26.9%
Vacancy Rate Change (pp),-13.3%
Vacancy Change vs City Avg (pp),-8.1%
Prior % Bachelor's+,51.0%
Education Change (pp),-22.7%
Education Change vs City Avg (pp),-24.6%
Market Signals,Young adult population growing; Affordability stress — rents outpacing incomes
