Metric,Value
NSA ID,21
NSA Name,Pennsylvania Ave
Total Population,"14,762"
Median HH Income ($),"$30,715"
% HH Income Below $50k,66.5%
% HH Income $50k–$100k,18.9%
% HH Income $100k+,14.7%
Median Gross Rent ($/mo),$831
% Renter-Occupied,72.8%
Population Change (%),-7.9%
Pop Density (per km²),9079.4
% Age 18–34,22.0%
% Age 35–64,37.8%
% Age 65+,17.7%
% Bachelor's or Higher,18.5%
Avg Household Size,1.9
% Drive Alone,48.0%
% Public Transit,26.2%
% Walk,8.3%
% Work from Home,8.8%
Median Home Value ($),"$191,306"
Vacancy Rate (%),22.0%
% Vacant — For Rent,2.2%
% Vacant — For Sale,1.2%
% Vacant — Other/Distressed,18.7%
% Owner-Occupied,27.2%
% Units Built Pre-1950,18.7%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"16,022"
Population Change (abs),"-1,260"
Pop Change vs City Avg (pp),-13.4%
Prior Income (CPI-adj $),"$25,472"
"Income Change (%, inflation-adj)",20.6%
Income Change vs City Avg (pp),12.5%
Prior Median Rent ($/mo),$556
Rent Change (%),49.5%
Rent Change vs City Avg (pp),27.9%
Prior Median Home Value ($),141804.6269842023
Home Value Change (%),34.9%
Home Value Change vs City Avg (pp),3.6%
Prior Vacancy Rate (%),33.2%
Vacancy Rate Change (pp),-11.2%
Vacancy Change vs City Avg (pp),-6.0%
Prior % Bachelor's+,17.7%
Education Change (pp),0.8%
Education Change vs City Avg (pp),-1.1%
Market Signals,Household incomes rising faster than city; Affordability stress — rents outpacing incomes
