Metric,Value
NSA ID,22
NSA Name,Liberty Heights
Total Population,"18,730"
Median HH Income ($),"$56,500"
% HH Income Below $50k,42.7%
% HH Income $50k–$100k,25.9%
% HH Income $100k+,31.4%
Median Gross Rent ($/mo),"$1,094"
% Renter-Occupied,40.5%
Population Change (%),0.5%
Pop Density (per km²),5178.7
% Age 18–34,23.7%
% Age 35–64,38.2%
% Age 65+,16.2%
% Bachelor's or Higher,25.0%
Avg Household Size,2.7
% Drive Alone,55.9%
% Public Transit,18.8%
% Walk,0.4%
% Work from Home,12.3%
Median Home Value ($),"$231,621"
Vacancy Rate (%),13.3%
% Vacant — For Rent,3.1%
% Vacant — For Sale,0.5%
% Vacant — Other/Distressed,9.7%
% Owner-Occupied,59.5%
% Units Built Pre-1950,37.4%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"18,636"
Population Change (abs),94
Pop Change vs City Avg (pp),-5.0%
Prior Income (CPI-adj $),"$58,624"
"Income Change (%, inflation-adj)",-3.6%
Income Change vs City Avg (pp),-11.7%
Prior Median Rent ($/mo),$997
Rent Change (%),9.8%
Rent Change vs City Avg (pp),-11.8%
Prior Median Home Value ($),154948.6301369863
Home Value Change (%),49.5%
Home Value Change vs City Avg (pp),18.2%
Prior Vacancy Rate (%),19.2%
Vacancy Rate Change (pp),-5.9%
Vacancy Change vs City Avg (pp),-0.7%
Prior % Bachelor's+,22.9%
Education Change (pp),2.1%
Education Change vs City Avg (pp),0.2%
Market Signals,Home value appreciation outpacing city
