Metric,Value
NSA ID,23
NSA Name,Hamilton-Lauraville
Total Population,"30,224"
Median HH Income ($),"$77,420"
% HH Income Below $50k,30.4%
% HH Income $50k–$100k,30.3%
% HH Income $100k+,39.3%
Median Gross Rent ($/mo),"$1,305"
% Renter-Occupied,21.9%
Population Change (%),-4.2%
Pop Density (per km²),5611.1
% Age 18–34,19.0%
% Age 35–64,42.6%
% Age 65+,14.7%
% Bachelor's or Higher,35.7%
Avg Household Size,2.6
% Drive Alone,64.2%
% Public Transit,7.2%
% Walk,1.6%
% Work from Home,14.8%
Median Home Value ($),"$239,576"
Vacancy Rate (%),8.8%
% Vacant — For Rent,1.9%
% Vacant — For Sale,1.2%
% Vacant — Other/Distressed,5.7%
% Owner-Occupied,78.1%
% Units Built Pre-1950,39.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"31,563"
Population Change (abs),"-1,339"
Pop Change vs City Avg (pp),-9.7%
Prior Income (CPI-adj $),"$76,549"
"Income Change (%, inflation-adj)",1.1%
Income Change vs City Avg (pp),-7.0%
Prior Median Rent ($/mo),"$1,080"
Rent Change (%),20.9%
Rent Change vs City Avg (pp),-0.7%
Prior Median Home Value ($),164071.5202052598
Home Value Change (%),46.0%
Home Value Change vs City Avg (pp),14.7%
Prior Vacancy Rate (%),13.7%
Vacancy Rate Change (pp),-4.9%
Vacancy Change vs City Avg (pp),0.3%
Prior % Bachelor's+,30.4%
Education Change (pp),5.3%
Education Change vs City Avg (pp),3.4%
Market Signals,Affordability stress — rents outpacing incomes
