Metric,Value
NSA ID,25
NSA Name,E North Ave
Total Population,"12,660"
Median HH Income ($),"$39,270"
% HH Income Below $50k,57.8%
% HH Income $50k–$100k,26.2%
% HH Income $100k+,16.0%
Median Gross Rent ($/mo),"$1,201"
% Renter-Occupied,61.0%
Population Change (%),13.6%
Pop Density (per km²),4618.3
% Age 18–34,22.4%
% Age 35–64,38.0%
% Age 65+,14.2%
% Bachelor's or Higher,13.9%
Avg Household Size,2.4
% Drive Alone,52.9%
% Public Transit,17.1%
% Walk,5.5%
% Work from Home,9.3%
Median Home Value ($),"$85,307"
Vacancy Rate (%),34.8%
% Vacant — For Rent,3.1%
% Vacant — For Sale,1.5%
% Vacant — Other/Distressed,30.2%
% Owner-Occupied,39.0%
% Units Built Pre-1950,17.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"11,147"
Population Change (abs),"1,512"
Pop Change vs City Avg (pp),8.1%
Prior Income (CPI-adj $),"$35,871"
"Income Change (%, inflation-adj)",9.5%
Income Change vs City Avg (pp),1.4%
Prior Median Rent ($/mo),$963
Rent Change (%),24.7%
Rent Change vs City Avg (pp),3.1%
Prior Median Home Value ($),62530.758836245004
Home Value Change (%),36.4%
Home Value Change vs City Avg (pp),5.1%
Prior Vacancy Rate (%),38.1%
Vacancy Rate Change (pp),-3.3%
Vacancy Change vs City Avg (pp),1.9%
Prior % Bachelor's+,11.3%
Education Change (pp),2.6%
Education Change vs City Avg (pp),0.7%
Market Signals,Affordability stress — rents outpacing incomes
