Metric,Value
NSA ID,26
NSA Name,E Monument
Total Population,"9,566"
Median HH Income ($),"$43,874"
% HH Income Below $50k,54.3%
% HH Income $50k–$100k,21.8%
% HH Income $100k+,24.0%
Median Gross Rent ($/mo),"$1,109"
% Renter-Occupied,70.9%
Population Change (%),15.7%
Pop Density (per km²),6553.4
% Age 18–34,33.9%
% Age 35–64,33.8%
% Age 65+,11.3%
% Bachelor's or Higher,36.8%
Avg Household Size,2.2
% Drive Alone,38.3%
% Public Transit,14.4%
% Walk,18.8%
% Work from Home,21.9%
Median Home Value ($),"$246,812"
Vacancy Rate (%),11.7%
% Vacant — For Rent,3.4%
% Vacant — For Sale,0.4%
% Vacant — Other/Distressed,8.0%
% Owner-Occupied,29.1%
% Units Built Pre-1950,15.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"8,268"
Population Change (abs),"1,297"
Pop Change vs City Avg (pp),10.2%
Prior Income (CPI-adj $),"$36,181"
"Income Change (%, inflation-adj)",21.3%
Income Change vs City Avg (pp),13.2%
Prior Median Rent ($/mo),$966
Rent Change (%),14.8%
Rent Change vs City Avg (pp),-6.8%
Prior Median Home Value ($),200348.35216189313
Home Value Change (%),23.2%
Home Value Change vs City Avg (pp),-8.1%
Prior Vacancy Rate (%),20.7%
Vacancy Rate Change (pp),-9.0%
Vacancy Change vs City Avg (pp),-3.8%
Prior % Bachelor's+,35.4%
Education Change (pp),1.4%
Education Change vs City Avg (pp),-0.5%
Market Signals,Household incomes rising faster than city; Young adult population growing
