Metric,Value
NSA ID,27
NSA Name,Mount Washington
Total Population,"8,876"
Median HH Income ($),"$89,215"
% HH Income Below $50k,27.6%
% HH Income $50k–$100k,26.5%
% HH Income $100k+,46.0%
Median Gross Rent ($/mo),"$1,329"
% Renter-Occupied,35.2%
Population Change (%),16.2%
Pop Density (per km²),2760.8
% Age 18–34,12.4%
% Age 35–64,39.8%
% Age 65+,25.8%
% Bachelor's or Higher,59.1%
Avg Household Size,2.3
% Drive Alone,62.6%
% Public Transit,4.2%
% Walk,3.1%
% Work from Home,23.7%
Median Home Value ($),"$350,533"
Vacancy Rate (%),7.4%
% Vacant — For Rent,2.5%
% Vacant — For Sale,1.2%
% Vacant — Other/Distressed,3.8%
% Owner-Occupied,64.8%
% Units Built Pre-1950,26.9%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"7,638"
Population Change (abs),"1,237"
Pop Change vs City Avg (pp),10.7%
Prior Income (CPI-adj $),"$88,158"
"Income Change (%, inflation-adj)",1.2%
Income Change vs City Avg (pp),-6.9%
Prior Median Rent ($/mo),"$1,001"
Rent Change (%),32.8%
Rent Change vs City Avg (pp),11.2%
Prior Median Home Value ($),257142.74426484675
Home Value Change (%),36.3%
Home Value Change vs City Avg (pp),5.0%
Prior Vacancy Rate (%),6.5%
Vacancy Rate Change (pp),0.9%
Vacancy Change vs City Avg (pp),6.1%
Prior % Bachelor's+,58.9%
Education Change (pp),0.2%
Education Change vs City Avg (pp),-1.7%
Market Signals,Renter demand rising; Affordability stress — rents outpacing incomes
