Metric,Value
NSA ID,3
NSA Name,Harbor East
Total Population,"2,346"
Median HH Income ($),"$117,461"
% HH Income Below $50k,21.1%
% HH Income $50k–$100k,17.3%
% HH Income $100k+,61.5%
Median Gross Rent ($/mo),"$2,084"
% Renter-Occupied,59.0%
Population Change (%),90.0%
Pop Density (per km²),15592.4
% Age 18–34,34.1%
% Age 35–64,44.5%
% Age 65+,13.4%
% Bachelor's or Higher,76.0%
Avg Household Size,1.8
% Drive Alone,52.5%
% Public Transit,1.2%
% Walk,12.5%
% Work from Home,24.4%
Median Home Value ($),"$413,522"
Vacancy Rate (%),12.6%
% Vacant — For Rent,2.6%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,10.0%
% Owner-Occupied,41.0%
% Units Built Pre-1950,1.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,234"
Population Change (abs),"1,111"
Pop Change vs City Avg (pp),84.5%
Prior Income (CPI-adj $),"$134,274"
"Income Change (%, inflation-adj)",-12.5%
Income Change vs City Avg (pp),-20.6%
Prior Median Rent ($/mo),"$2,339"
Rent Change (%),-10.9%
Rent Change vs City Avg (pp),-32.5%
Prior Median Home Value ($),370718.80677020736
Home Value Change (%),11.5%
Home Value Change vs City Avg (pp),-19.8%
Prior Vacancy Rate (%),24.0%
Vacancy Rate Change (pp),-11.4%
Vacancy Change vs City Avg (pp),-6.2%
Prior % Bachelor's+,81.6%
Education Change (pp),-5.6%
Education Change vs City Avg (pp),-7.5%
Market Signals,Young adult population growing
