Metric,Value
NSA ID,4
NSA Name,Brooklyn
Total Population,"11,818"
Median HH Income ($),"$39,990"
% HH Income Below $50k,62.4%
% HH Income $50k–$100k,22.5%
% HH Income $100k+,15.0%
Median Gross Rent ($/mo),"$1,153"
% Renter-Occupied,51.1%
Population Change (%),3.0%
Pop Density (per km²),5349.1
% Age 18–34,22.3%
% Age 35–64,39.9%
% Age 65+,8.1%
% Bachelor's or Higher,10.1%
Avg Household Size,2.5
% Drive Alone,72.3%
% Public Transit,9.3%
% Walk,2.7%
% Work from Home,3.7%
Median Home Value ($),"$104,093"
Vacancy Rate (%),16.0%
% Vacant — For Rent,5.6%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,10.4%
% Owner-Occupied,48.9%
% Units Built Pre-1950,34.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"11,469"
Population Change (abs),349
Pop Change vs City Avg (pp),-2.5%
Prior Income (CPI-adj $),"$47,121"
"Income Change (%, inflation-adj)",-15.1%
Income Change vs City Avg (pp),-23.2%
Prior Median Rent ($/mo),$928
Rent Change (%),24.3%
Rent Change vs City Avg (pp),2.7%
Prior Median Home Value ($),95625.0
Home Value Change (%),8.9%
Home Value Change vs City Avg (pp),-22.4%
Prior Vacancy Rate (%),25.6%
Vacancy Rate Change (pp),-9.6%
Vacancy Change vs City Avg (pp),-4.4%
Prior % Bachelor's+,8.4%
Education Change (pp),1.7%
Education Change vs City Avg (pp),-0.2%
Market Signals,Affordability stress — rents outpacing incomes
