Metric,Value
NSA ID,5
NSA Name,Canton
Total Population,"13,957"
Median HH Income ($),"$153,797"
% HH Income Below $50k,10.3%
% HH Income $50k–$100k,19.7%
% HH Income $100k+,70.1%
Median Gross Rent ($/mo),"$2,286"
% Renter-Occupied,35.7%
Population Change (%),6.1%
Pop Density (per km²),9474.9
% Age 18–34,47.2%
% Age 35–64,34.5%
% Age 65+,8.0%
% Bachelor's or Higher,79.7%
Avg Household Size,1.9
% Drive Alone,62.8%
% Public Transit,3.3%
% Walk,4.0%
% Work from Home,24.7%
Median Home Value ($),"$376,442"
Vacancy Rate (%),8.9%
% Vacant — For Rent,2.3%
% Vacant — For Sale,0.7%
% Vacant — Other/Distressed,5.8%
% Owner-Occupied,64.3%
% Units Built Pre-1950,6.4%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"13,157"
Population Change (abs),799
Pop Change vs City Avg (pp),0.6%
Prior Income (CPI-adj $),"$131,208"
"Income Change (%, inflation-adj)",17.2%
Income Change vs City Avg (pp),9.1%
Prior Median Rent ($/mo),"$2,062"
Rent Change (%),10.9%
Rent Change vs City Avg (pp),-10.7%
Prior Median Home Value ($),320896.84683886793
Home Value Change (%),17.3%
Home Value Change vs City Avg (pp),-14.0%
Prior Vacancy Rate (%),14.7%
Vacancy Rate Change (pp),-5.8%
Vacancy Change vs City Avg (pp),-0.6%
Prior % Bachelor's+,71.6%
Education Change (pp),8.1%
Education Change vs City Avg (pp),6.2%
Market Signals,Young adult population growing
