Metric,Value
NSA ID,6
NSA Name,Downtown
Total Population,"6,939"
Median HH Income ($),"$67,911"
% HH Income Below $50k,25.2%
% HH Income $50k–$100k,50.3%
% HH Income $100k+,24.5%
Median Gross Rent ($/mo),"$1,773"
% Renter-Occupied,95.4%
Population Change (%),45.2%
Pop Density (per km²),6579.1
% Age 18–34,58.9%
% Age 35–64,34.6%
% Age 65+,3.0%
% Bachelor's or Higher,72.0%
Avg Household Size,1.3
% Drive Alone,49.4%
% Public Transit,6.6%
% Walk,15.8%
% Work from Home,23.5%
Median Home Value ($),"$305,391"
Vacancy Rate (%),8.8%
% Vacant — For Rent,3.5%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,5.3%
% Owner-Occupied,4.6%
% Units Built Pre-1950,14.5%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"4,777"
Population Change (abs),"2,161"
Pop Change vs City Avg (pp),39.7%
Prior Income (CPI-adj $),"$72,908"
"Income Change (%, inflation-adj)",-6.9%
Income Change vs City Avg (pp),-15.0%
Prior Median Rent ($/mo),"$1,492"
Rent Change (%),18.8%
Rent Change vs City Avg (pp),-2.8%
Prior Median Home Value ($),269938.2913831285
Home Value Change (%),13.1%
Home Value Change vs City Avg (pp),-18.2%
Prior Vacancy Rate (%),18.3%
Vacancy Rate Change (pp),-9.5%
Vacancy Change vs City Avg (pp),-4.3%
Prior % Bachelor's+,84.2%
Education Change (pp),-12.2%
Education Change vs City Avg (pp),-14.1%
Market Signals,Young adult population growing; Affordability stress — rents outpacing incomes
