Metric,Value
NSA ID,7
NSA Name,Federal Hill
Total Population,"11,142"
Median HH Income ($),"$120,729"
% HH Income Below $50k,20.1%
% HH Income $50k–$100k,21.3%
% HH Income $100k+,58.6%
Median Gross Rent ($/mo),"$2,116"
% Renter-Occupied,52.1%
Population Change (%),2.4%
Pop Density (per km²),28879.4
% Age 18–34,39.4%
% Age 35–64,33.8%
% Age 65+,18.0%
% Bachelor's or Higher,77.7%
Avg Household Size,1.7
% Drive Alone,57.3%
% Public Transit,2.8%
% Walk,8.4%
% Work from Home,25.2%
Median Home Value ($),"$410,754"
Vacancy Rate (%),9.7%
% Vacant — For Rent,3.8%
% Vacant — For Sale,1.7%
% Vacant — Other/Distressed,4.2%
% Owner-Occupied,47.9%
% Units Built Pre-1950,4.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"10,884"
Population Change (abs),258
Pop Change vs City Avg (pp),-3.1%
Prior Income (CPI-adj $),"$113,855"
"Income Change (%, inflation-adj)",6.0%
Income Change vs City Avg (pp),-2.1%
Prior Median Rent ($/mo),"$1,620"
Rent Change (%),30.6%
Rent Change vs City Avg (pp),9.0%
Prior Median Home Value ($),383791.2087912088
Home Value Change (%),7.0%
Home Value Change vs City Avg (pp),-24.3%
Prior Vacancy Rate (%),8.8%
Vacancy Rate Change (pp),0.9%
Vacancy Change vs City Avg (pp),6.1%
Prior % Bachelor's+,71.0%
Education Change (pp),6.7%
Education Change vs City Avg (pp),4.8%
Market Signals,Renter demand rising; Young adult population growing; Affordability stress — rents outpacing incomes
