Metric,Value
NSA ID,8
NSA Name,Hampden
Total Population,"10,444"
Median HH Income ($),"$90,695"
% HH Income Below $50k,29.0%
% HH Income $50k–$100k,25.9%
% HH Income $100k+,45.1%
Median Gross Rent ($/mo),"$1,700"
% Renter-Occupied,41.3%
Population Change (%),-5.1%
Pop Density (per km²),6561.8
% Age 18–34,34.7%
% Age 35–64,38.8%
% Age 65+,16.5%
% Bachelor's or Higher,64.2%
Avg Household Size,1.8
% Drive Alone,59.0%
% Public Transit,3.9%
% Walk,6.3%
% Work from Home,21.2%
Median Home Value ($),"$285,788"
Vacancy Rate (%),6.9%
% Vacant — For Rent,1.5%
% Vacant — For Sale,0.1%
% Vacant — Other/Distressed,5.2%
% Owner-Occupied,58.7%
% Units Built Pre-1950,18.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"11,006"
Population Change (abs),-562
Pop Change vs City Avg (pp),-10.6%
Prior Income (CPI-adj $),"$82,201"
"Income Change (%, inflation-adj)",10.3%
Income Change vs City Avg (pp),2.2%
Prior Median Rent ($/mo),"$1,250"
Rent Change (%),36.0%
Rent Change vs City Avg (pp),14.4%
Prior Median Home Value ($),230803.0803080308
Home Value Change (%),23.8%
Home Value Change vs City Avg (pp),-7.5%
Prior Vacancy Rate (%),10.8%
Vacancy Rate Change (pp),-3.9%
Vacancy Change vs City Avg (pp),1.3%
Prior % Bachelor's+,62.7%
Education Change (pp),1.5%
Education Change vs City Avg (pp),-0.4%
Market Signals,Renter demand rising; Affordability stress — rents outpacing incomes
