Metric,Value
NSA ID,9
NSA Name,Jonestown
Total Population,"1,259"
Median HH Income ($),"$80,711"
% HH Income Below $50k,33.6%
% HH Income $50k–$100k,45.8%
% HH Income $100k+,20.7%
Median Gross Rent ($/mo),"$1,470"
% Renter-Occupied,64.3%
Population Change (%),-16.0%
Pop Density (per km²),3608.0
% Age 18–34,41.6%
% Age 35–64,42.2%
% Age 65+,9.8%
% Bachelor's or Higher,16.3%
Avg Household Size,1.9
% Drive Alone,39.7%
% Public Transit,22.7%
% Walk,20.5%
% Work from Home,4.8%
Median Home Value ($),"$344,799"
Vacancy Rate (%),12.5%
% Vacant — For Rent,0.1%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,12.4%
% Owner-Occupied,35.7%
% Units Built Pre-1950,4.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,498"
Population Change (abs),-239
Pop Change vs City Avg (pp),-21.5%
Prior Income (CPI-adj $),"$42,221"
"Income Change (%, inflation-adj)",91.2%
Income Change vs City Avg (pp),83.1%
Prior Median Rent ($/mo),$778
Rent Change (%),88.8%
Rent Change vs City Avg (pp),67.2%
Prior Median Home Value ($),277222.808613752
Home Value Change (%),24.4%
Home Value Change vs City Avg (pp),-6.9%
Prior Vacancy Rate (%),0.9%
Vacancy Rate Change (pp),11.6%
Vacancy Change vs City Avg (pp),16.8%
Prior % Bachelor's+,31.3%
Education Change (pp),-15.0%
Education Change vs City Avg (pp),-16.9%
Market Signals,Renter demand rising; Household incomes rising faster than city; Significant population loss
